Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,org:role,id,variant,variant-index,creator,travel permit number,Permit OrganizationalEntity,RequestedAmount,Permit ID,Amount,Permit ProjectNumber,OriginalAmount,Permit ActivityNumber,DeclarationNumber,Permit RequestedBudget,Permit travel permit number,id,BudgetNumber,Permit BudgetNumber,AdjustedAmount,Permit TaskNumber,Permit id,Automatic Flag
declaration 73582,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,12-01-2018 12:38,Variant 1,1,complete,EMPLOYEE,st_step 73629_0,Variant 1,1,Fluxicon Disco,travel permit number 73563,organizational unit 65455,150.826489,travel permit 73562,150.826489,project 8761,150.826489,UNKNOWN,declaration number 73583,4550.799237,travel permit number 73563,declaration 73582,budget 143495,budget 899,150.826489,task 427,travel permit 73562,Yes
declaration 73582,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,12-01-2018 12:38,Variant 1,1,complete,ADMINISTRATION,st_step 73628_0,Variant 1,1,Fluxicon Disco,travel permit number 73563,organizational unit 65455,150.826489,travel permit 73562,150.826489,project 8761,150.826489,UNKNOWN,declaration number 73583,4550.799237,travel permit number 73563,declaration 73582,budget 143495,budget 899,150.826489,task 427,travel permit 73562,Yes
declaration 8242,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-02-2018 15:46,Variant 1,1,complete,EMPLOYEE,st_step 8248_0,Variant 1,1,Fluxicon Disco,travel permit number 8241,organizational unit 65460,993.6139085,travel permit 8240,993.6139085,project 5269,993.6139085,UNKNOWN,declaration number 8243,466.9352844,travel permit number 8241,declaration 8242,budget 143950,budget 1469,993.6139085,task 427,travel permit 8240,Yes
declaration 8242,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-02-2018 15:46,Variant 1,1,complete,ADMINISTRATION,st_step 8247_0,Variant 1,1,Fluxicon Disco,travel permit number 8241,organizational unit 65460,993.6139085,travel permit 8240,993.6139085,project 5269,993.6139085,UNKNOWN,declaration number 8243,466.9352844,travel permit number 8241,declaration 8242,budget 143950,budget 1469,993.6139085,task 427,travel permit 8240,Yes
declaration 43745,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,05-03-2018 09:12,Variant 1,1,complete,EMPLOYEE,st_step 43750_0,Variant 1,1,Fluxicon Disco,travel permit number 43744,organizational unit 65460,868.979673,travel permit 43743,868.979673,UNKNOWN,868.979673,UNKNOWN,declaration number 43746,1479.43593,travel permit number 43744,declaration 43745,budget 144334,budget 1469,868.979673,UNKNOWN,travel permit 43743,Yes
declaration 43745,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,05-03-2018 09:12,Variant 1,1,complete,ADMINISTRATION,st_step 43751_0,Variant 1,1,Fluxicon Disco,travel permit number 43744,organizational unit 65460,868.979673,travel permit 43743,868.979673,UNKNOWN,868.979673,UNKNOWN,declaration number 43746,1479.43593,travel permit number 43744,declaration 43745,budget 144334,budget 1469,868.979673,UNKNOWN,travel permit 43743,Yes
declaration 86077,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,14-02-2018 15:36,Variant 1,1,complete,EMPLOYEE,st_step 86084_0,Variant 1,1,Fluxicon Disco,travel permit number 86076,organizational unit 65458,3425.961876,travel permit 86075,3425.961876,project 5962,3425.961876,UNKNOWN,declaration number 86078,3373.337806,travel permit number 86076,declaration 86077,budget 144186,budget 635,3425.961876,task 427,travel permit 86075,Yes
declaration 86077,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,14-02-2018 15:36,Variant 1,1,complete,ADMINISTRATION,st_step 86085_0,Variant 1,1,Fluxicon Disco,travel permit number 86076,organizational unit 65458,3425.961876,travel permit 86075,3425.961876,project 5962,3425.961876,UNKNOWN,declaration number 86078,3373.337806,travel permit number 86076,declaration 86077,budget 144186,budget 635,3425.961876,task 427,travel permit 86075,Yes
declaration 82982,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,08-01-2018 09:40,Variant 1,1,complete,EMPLOYEE,st_step 82988_0,Variant 1,1,Fluxicon Disco,travel permit number 82981,organizational unit 65458,10.5965088,travel permit 82980,10.5965088,project 3329,10.5965088,UNKNOWN,declaration number 82983,1668.797992,travel permit number 82981,declaration 82982,budget 143691,budget 2351,10.5965088,task 427,travel permit 82980,Yes
declaration 82982,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,08-01-2018 09:40,Variant 1,1,complete,ADMINISTRATION,st_step 82987_0,Variant 1,1,Fluxicon Disco,travel permit number 82981,organizational unit 65458,10.5965088,travel permit 82980,10.5965088,project 3329,10.5965088,UNKNOWN,declaration number 82983,1668.797992,travel permit number 82981,declaration 82982,budget 143691,budget 2351,10.5965088,task 427,travel permit 82980,Yes
declaration 79625,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,07-02-2018 09:38,Variant 1,1,complete,EMPLOYEE,st_step 79629_0,Variant 1,1,Fluxicon Disco,travel permit number 79624,organizational unit 65458,558.6247406,travel permit 79623,558.6247406,project 5962,558.6247406,UNKNOWN,declaration number 79626,466.8699523,travel permit number 79624,declaration 79625,budget 143988,budget 635,558.6247406,task 427,travel permit 79623,Yes
declaration 79625,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,07-02-2018 09:38,Variant 1,1,complete,ADMINISTRATION,st_step 79630_0,Variant 1,1,Fluxicon Disco,travel permit number 79624,organizational unit 65458,558.6247406,travel permit 79623,558.6247406,project 5962,558.6247406,UNKNOWN,declaration number 79626,466.8699523,travel permit number 79624,declaration 79625,budget 143988,budget 635,558.6247406,task 427,travel permit 79623,Yes
declaration 86464,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,09-01-2018 14:57,Variant 1,1,complete,EMPLOYEE,st_step 86470_0,Variant 1,1,Fluxicon Disco,travel permit number 86463,organizational unit 65459,942.9635524,travel permit 86462,942.9635524,project 1400,942.9635524,UNKNOWN,declaration number 86465,1625.404982,travel permit number 86463,declaration 86464,budget 143712,budget 1399,942.9635524,task 427,travel permit 86462,Yes
declaration 86464,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,09-01-2018 14:57,Variant 1,1,complete,ADMINISTRATION,st_step 86469_0,Variant 1,1,Fluxicon Disco,travel permit number 86463,organizational unit 65459,942.9635524,travel permit 86462,942.9635524,project 1400,942.9635524,UNKNOWN,declaration number 86465,1625.404982,travel permit number 86463,declaration 86464,budget 143712,budget 1399,942.9635524,task 427,travel permit 86462,Yes
declaration 85006,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,28-02-2018 18:05,Variant 1,1,complete,EMPLOYEE,st_step 85010_0,Variant 1,1,Fluxicon Disco,travel permit number 85005,organizational unit 65458,133.1020225,travel permit 85004,133.1020225,project 647,133.1020225,UNKNOWN,declaration number 85007,841.6668711,travel permit number 85005,declaration 85006,budget 143695,budget 635,133.1020225,task 648,travel permit 85004,Yes
